city,timestamp,temperature,humidity,pressure,wind_speed,weather_desc,aqi,pm25,pm10,no2,o3
Tanger,2026-05-02 04:29:41.934718,15.74,88.0,1017.0,2.57,clear sky,2.0,3.09,7.92,1.33,88.2
Marrakech,2026-05-02 04:29:41.934718,14.98,82.0,1017.0,1.03,clear sky,2.0,13.52,30.03,1.51,72.51
Rabat,2026-05-02 04:29:41.934718,14.37,100.0,1018.0,0.0,broken clouds,2.0,3.95,8.1,2.32,76.23
Agadir,2026-05-02 05:24:28.317172,14.06,88.0,1017.0,0.26,broken clouds,2.0,2.56,7.55,0.25,92.33
Tanger,2026-05-02 05:24:28.317172,15.74,88.0,1017.0,2.57,clear sky,2.0,3.14,8.07,1.33,86.73
Marrakech,2026-05-02 05:24:28.317172,14.98,82.0,1017.0,2.06,clear sky,2.0,13.76,29.9,1.56,69.22
Rabat,2026-05-02 05:24:28.317172,15.37,94.0,1018.0,0.0,broken clouds,2.0,4.11,8.31,2.22,74.07
Agadir,2026-05-02 05:29:51.454074,14.06,88.0,1017.0,0.26,broken clouds,2.0,2.56,7.55,0.25,92.33
Tanger,2026-05-02 05:29:51.454074,15.74,88.0,1017.0,2.57,clear sky,2.0,3.14,8.07,1.33,86.73
Marrakech,2026-05-02 05:29:51.454074,14.98,82.0,1017.0,2.06,clear sky,2.0,13.76,29.9,1.56,69.22
Rabat,2026-05-02 05:29:51.454074,15.37,94.0,1018.0,0.0,broken clouds,2.0,4.11,8.31,2.22,74.07
Agadir,2026-05-02 06:24:37.813982,14.06,90.0,1017.0,0.85,broken clouds,2.0,3.02,8.76,0.26,91.85
Tanger,2026-05-02 06:24:37.813982,15.74,88.0,1017.0,2.57,overcast clouds,2.0,3.28,8.28,1.41,85.59
Marrakech,2026-05-02 06:24:37.813982,13.98,88.0,1017.0,2.57,clear sky,2.0,14.06,30.09,1.69,65.98
Rabat,2026-05-02 06:24:37.813982,14.37,100.0,1018.0,0.0,broken clouds,2.0,4.27,8.43,2.27,71.22
Agadir,2026-05-02 06:30:00.906344,14.06,90.0,1017.0,0.85,broken clouds,2.0,3.02,8.76,0.26,91.85
Tanger,2026-05-02 06:30:00.906344,15.74,88.0,1017.0,2.57,overcast clouds,2.0,3.28,8.28,1.41,85.59
Marrakech,2026-05-02 06:30:00.906344,13.98,88.0,1017.0,2.57,clear sky,2.0,14.06,30.09,1.69,65.98
Rabat,2026-05-02 06:30:00.906344,14.37,100.0,1018.0,0.0,broken clouds,2.0,4.27,8.43,2.27,71.22
Agadir,2026-05-02 07:24:47.595267,14.06,91.0,1017.0,1.73,broken clouds,2.0,3.48,9.98,0.31,91.14
Tanger,2026-05-02 07:24:47.595267,15.74,94.0,1018.0,2.06,overcast clouds,2.0,3.48,8.62,1.9,84.68
Marrakech,2026-05-02 07:24:47.595267,13.0,88.0,1018.0,2.06,clear sky,2.0,14.35,30.62,2.2,62.94
Rabat,2026-05-02 07:24:47.595267,15.37,94.0,1018.0,0.0,overcast clouds,2.0,4.43,8.57,2.68,68.52
Agadir,2026-05-02 07:30:10.693600,14.06,91.0,1017.0,1.73,broken clouds,2.0,3.48,9.98,0.31,91.14
Tanger,2026-05-02 07:30:10.693600,15.74,94.0,1018.0,2.06,overcast clouds,2.0,3.48,8.62,1.9,84.68
Marrakech,2026-05-02 07:30:10.693600,13.0,88.0,1018.0,2.06,clear sky,2.0,14.35,30.62,2.2,62.94
Rabat,2026-05-02 07:30:10.693600,15.37,94.0,1018.0,0.0,overcast clouds,2.0,4.43,8.57,2.68,68.52
Agadir,2026-05-02 08:24:57.379284,15.06,88.0,1017.0,1.97,few clouds,2.0,4.03,11.48,0.41,90.44
Tanger,2026-05-02 08:24:57.379284,16.74,94.0,1018.0,1.03,scattered clouds,2.0,3.73,9.06,3.06,82.86
Marrakech,2026-05-02 08:24:57.379284,13.98,88.0,1018.0,3.6,overcast clouds,2.0,14.29,31.06,2.99,61.52
Rabat,2026-05-02 08:24:57.379284,16.37,100.0,1019.0,0.0,overcast clouds,2.0,4.59,8.82,3.47,65.97
Agadir,2026-05-02 08:30:20.416052,15.06,88.0,1017.0,1.97,few clouds,2.0,4.03,11.48,0.41,90.44
Tanger,2026-05-02 08:30:20.416052,16.74,94.0,1018.0,1.03,scattered clouds,2.0,3.73,9.06,3.06,82.86
Marrakech,2026-05-02 08:30:20.416052,13.98,88.0,1018.0,3.6,overcast clouds,2.0,13.96,31.01,2.99,64.11
Rabat,2026-05-02 08:30:20.416052,16.37,100.0,1019.0,0.0,overcast clouds,2.0,4.59,8.82,3.47,65.97
Agadir,2026-05-02 09:25:06.963104,18.06,83.0,1017.0,2.25,few clouds,2.0,4.47,12.8,0.47,89.49
Tanger,2026-05-02 09:25:06.963104,18.74,82.0,1018.0,1.03,scattered clouds,2.0,3.88,9.34,3.6,81.93
Marrakech,2026-05-02 09:25:06.963104,15.98,82.0,1018.0,3.6,broken clouds,2.0,13.96,31.01,2.99,64.11
