timestamp,city,lat,lon,temperature,humidity,pressure,wind_speed,weather_description,aqi,no2,o3,pm2_5,pm10,source_file,year,month,day,hour,split
2026-04-28 20:25:36.000000,Fes,34.0331,-5.0003,20.08,77.0,1010.0,3.6,moderate rain,2.0,1.15,74.82,2.92,5.33,raw_collecte_principale.csv,2026,4,28,20,train
2026-04-28 21:25:48.000000,Casablanca,33.5731,-7.5898,17.89,82.0,1011.0,2.06,overcast clouds,2.0,1.41,95.68,8.48,16.27,raw_collecte_principale.csv,2026,4,28,21,train
2026-04-28 21:25:59.000000,Rabat,34.0209,-6.8416,18.37,94.0,1011.0,2.06,overcast clouds,2.0,2.68,93.16,8.38,15.65,raw_collecte_principale.csv,2026,4,28,21,train
2026-04-28 21:26:08.000000,Marrakech,31.6295,-7.9811,19.98,68.0,1010.0,2.06,broken clouds,2.0,1.3,87.53,2.96,7.01,raw_collecte_principale.csv,2026,4,28,21,train
2026-04-28 21:26:18.000000,Fes,34.0331,-5.0003,19.08,88.0,1010.0,2.57,light rain,2.0,1.73,62.6,2.91,5.1,raw_collecte_principale.csv,2026,4,28,21,train
2026-04-28 22:26:31.000000,Casablanca,33.5731,-7.5898,17.89,82.0,1012.0,1.54,overcast clouds,2.0,1.46,94.33,8.41,17.07,raw_collecte_principale.csv,2026,4,28,22,train
2026-04-28 22:26:42.000000,Rabat,34.0209,-6.8416,18.37,94.0,1011.0,0.0,overcast clouds,2.0,2.58,91.42,8.32,16.18,raw_collecte_principale.csv,2026,4,28,22,train
2026-04-28 22:26:55.000000,Marrakech,31.6295,-7.9811,18.98,68.0,1011.0,4.63,broken clouds,2.0,1.38,86.47,3.13,7.57,raw_collecte_principale.csv,2026,4,28,22,train
2026-04-28 22:27:05.000000,Fes,34.0331,-5.0003,19.08,94.0,1011.0,2.57,broken clouds,1.0,2.01,54.47,2.88,4.94,raw_collecte_principale.csv,2026,4,28,22,train
2026-04-28 23:27:15.000000,Casablanca,33.5731,-7.5898,17.89,82.0,1012.0,1.54,overcast clouds,2.0,1.48,92.36,8.15,17.46,raw_collecte_principale.csv,2026,4,28,23,train
2026-04-28 23:27:28.000000,Rabat,34.0209,-6.8416,18.37,88.0,1011.0,1.54,light rain,2.0,2.54,88.71,8.1,15.65,raw_collecte_principale.csv,2026,4,28,23,train
2026-04-28 23:27:43.000000,Marrakech,31.6295,-7.9811,17.98,72.0,1012.0,3.6,broken clouds,2.0,1.41,84.62,3.22,7.75,raw_collecte_principale.csv,2026,4,28,23,train
2026-04-28 23:27:54.000000,Fes,34.0331,-5.0003,18.08,100.0,1011.0,4.12,light rain,1.0,2.12,48.27,2.84,4.87,raw_collecte_principale.csv,2026,4,28,23,train
2026-04-29 14:49:31.000000,Casablanca,33.5731,-7.5898,20.01,73.0,1012.0,2.57,scattered clouds,2.0,0.54,96.46,3.99,9.42,raw_collecte_principale.csv,2026,4,29,14,train
2026-04-29 14:49:37.000000,Rabat,34.0209,-6.8416,20.37,83.0,1012.0,2.06,broken clouds,2.0,1.1,97.38,4.3,6.84,raw_collecte_principale.csv,2026,4,29,14,train
2026-04-29 14:49:44.000000,Marrakech,31.6295,-7.9811,20.98,68.0,1009.0,2.06,broken clouds,2.0,0.22,94.75,2.35,6.51,raw_collecte_principale.csv,2026,4,29,14,train
2026-04-29 14:49:50.000000,Fes,34.0331,-5.0003,19.08,94.0,1010.0,3.6,light rain,2.0,0.27,82.54,3.03,4.74,raw_collecte_principale.csv,2026,4,29,14,train
2026-04-29 15:49:58.000000,Casablanca,33.5731,-7.5898,20.01,68.0,1011.0,2.57,scattered clouds,2.0,0.57,96.34,3.82,9.17,raw_collecte_principale.csv,2026,4,29,15,train
2026-04-29 15:50:08.000000,Rabat,34.0209,-6.8416,21.37,78.0,1012.0,2.57,broken clouds,2.0,1.12,98.33,4.38,6.94,raw_collecte_principale.csv,2026,4,29,15,train
2026-04-29 15:50:15.000000,Marrakech,31.6295,-7.9811,20.98,64.0,1009.0,2.06,broken clouds,2.0,0.25,93.85,2.56,6.87,raw_collecte_principale.csv,2026,4,29,15,train
2026-04-29 15:50:23.000000,Fes,34.0331,-5.0003,19.08,88.0,1010.0,3.09,broken clouds,2.0,0.28,83.76,3.36,4.85,raw_collecte_principale.csv,2026,4,29,15,train
2026-04-29 16:50:30.000000,Casablanca,33.5731,-7.5898,20.0,68.0,1011.0,2.57,scattered clouds,2.0,0.71,96.94,3.81,9.37,raw_collecte_principale.csv,2026,4,29,16,train
2026-04-29 16:50:36.000000,Rabat,34.0209,-6.8416,20.37,77.0,1011.0,3.09,scattered clouds,2.0,1.42,97.84,4.38,7.28,raw_collecte_principale.csv,2026,4,29,16,train
2026-04-29 16:50:42.000000,Marrakech,31.6295,-7.9811,21.98,60.0,1009.0,3.09,broken clouds,2.0,0.34,94.78,3.0,7.83,raw_collecte_principale.csv,2026,4,29,16,train
2026-04-29 16:50:49.000000,Fes,34.0331,-5.0003,20.08,82.0,1010.0,4.12,broken clouds,2.0,0.41,83.63,3.87,5.13,raw_collecte_principale.csv,2026,4,29,16,train
2026-04-29 17:50:57.000000,Casablanca,33.5731,-7.5898,20.0,68.0,1011.0,3.09,scattered clouds,2.0,0.93,97.15,3.91,9.96,raw_collecte_principale.csv,2026,4,29,17,train
2026-04-29 17:51:04.000000,Rabat,34.0209,-6.8416,20.37,77.0,1011.0,2.57,scattered clouds,2.0,2.04,95.73,4.32,7.77,raw_collecte_principale.csv,2026,4,29,17,train
2026-04-29 17:51:11.000000,Marrakech,31.6295,-7.9811,21.98,60.0,1008.0,2.06,broken clouds,2.0,0.5,95.11,3.58,9.25,raw_collecte_principale.csv,2026,4,29,17,train
2026-04-29 17:51:18.000000,Fes,34.0331,-5.0003,19.08,88.0,1010.0,3.6,broken clouds,2.0,0.68,81.33,4.4,5.5,raw_collecte_principale.csv,2026,4,29,17,train
2026-04-29 18:51:25.000000,Casablanca,33.5731,-7.5898,19.49,70.0,1012.0,3.09,scattered clouds,2.0,1.21,96.62,3.96,10.41,raw_collecte_principale.csv,2026,4,29,18,train
2026-04-29 18:51:32.000000,Rabat,34.0209,-6.8416,19.37,82.0,1012.0,2.57,scattered clouds,2.0,2.6,93.25,4.2,8.09,raw_collecte_principale.csv,2026,4,29,18,train
2026-04-29 18:51:39.000000,Marrakech,31.6295,-7.9811,22.0,60.0,1009.0,2.57,broken clouds,2.0,0.69,94.5,4.04,10.63,raw_collecte_principale.csv,2026,4,29,18,train
2026-04-29 18:51:46.000000,Fes,34.0331,-5.0003,19.08,88.0,1011.0,3.6,broken clouds,2.0,0.99,78.82,4.62,5.65,raw_collecte_principale.csv,2026,4,29,18,train
2026-04-29 19:51:55.000000,Casablanca,33.5731,-7.5898,18.95,72.0,1013.0,2.57,scattered clouds,2.0,1.71,94.0,3.95,10.83,raw_collecte_principale.csv,2026,4,29,19,train
2026-04-29 19:52:07.000000,Rabat,34.0209,-6.8416,19.37,82.0,1012.0,2.06,scattered clouds,2.0,3.05,90.4,4.09,8.26,raw_collecte_principale.csv,2026,4,29,19,train
2026-04-29 19:52:16.000000,Marrakech,31.6295,-7.9811,20.98,64.0,1009.0,2.06,broken clouds,2.0,0.98,91.16,4.2,11.48,raw_collecte_principale.csv,2026,4,29,19,train
2026-04-29 19:52:23.000000,Fes,34.0331,-5.0003,18.08,94.0,1011.0,3.6,broken clouds,2.0,1.51,73.7,4.64,5.67,raw_collecte_principale.csv,2026,4,29,19,train
