city,timestamp,temperature,humidity,pressure,wind_speed,clouds,visibility,weather_main,weather_desc,aqi,pm2_5,pm10,co,no2,o3,so2,nh3
Fes,2026-05-03 18:27:15,21.14,68,1013,1.54,75,10000,Clouds,broken clouds,2,4.62,7.05,92.1,0.89,75.21,0.49,0.36
Casablanca,2026-05-03 19:27:17,19.13,70,1016,2.57,40,8000,Clouds,scattered clouds,2,2.17,6.19,102.8,1.37,83.84,4.7,0
Tanger,2026-05-03 19:27:18,17.64,82,1015,3.09,75,10000,Clouds,broken clouds,2,2.76,4.71,103.02,2.13,80.96,3.28,0.1
Karia Ba Mohamed,2026-05-03 19:27:20,19.77,68,1014,5.36,82,10000,Clouds,broken clouds,2,4.12,6.55,93.63,1.12,71.89,0.85,0.41
Fes,2026-05-03 19:27:22,20.14,72,1014,2.06,75,10000,Clouds,broken clouds,2,4.32,6.62,91.92,1.15,71.1,0.52,0.48
Casablanca,2026-05-03 20:27:23,18.07,77,1017,2.57,48,10000,Clouds,scattered clouds,2,2.18,6.7,105.74,1.81,82.05,5.03,0.05
Tanger,2026-05-03 20:27:25,17.64,82,1016,2.06,75,10000,Clouds,broken clouds,2,2.44,4.39,105.25,2.44,78.37,3.07,0.16
Karia Ba Mohamed,2026-05-03 20:27:26,18.06,76,1015,4.78,72,10000,Clouds,broken clouds,2,3.75,6.07,94.5,1.2,68.92,0.84,0.43
Fes,2026-05-03 20:27:28,19.14,82,1015,1.03,75,10000,Clouds,broken clouds,2,4.01,6.2,92.48,1.35,66.55,0.52,0.53
Casablanca,2026-05-03 21:27:30,18.07,77,1017,2.06,40,10000,Clouds,scattered clouds,2,2.21,7.08,108.45,1.95,80.91,5.08,0.09
Tanger,2026-05-03 21:27:32,17.64,82,1016,2.57,75,10000,Clouds,broken clouds,2,2.2,4.14,107.33,2.5,76.72,2.89,0.18
Karia Ba Mohamed,2026-05-03 21:27:33,16.88,83,1016,3.64,72,10000,Clouds,broken clouds,2,3.37,5.59,95.46,1.27,66.33,0.8,0.36
Fes,2026-05-03 21:27:35,18.14,77,1016,3.6,75,10000,Clouds,broken clouds,2,3.66,5.72,92.96,1.48,62.42,0.51,0.49
Casablanca,2026-05-05 11:06:05,20.19,52,1017,3.09,40,10000,Clouds,scattered clouds,3,4.1,9.94,110.41,0.76,107.06,4.24,0
Tanger,2026-05-05 11:06:07,18.64,59,1016,3.6,40,10000,Clouds,scattered clouds,3,4.36,8.28,110.63,1.37,103.23,4.56,0
Karia Ba Mohamed,2026-05-05 11:06:08,19.52,47,1016,3.01,98,10000,Clouds,overcast clouds,2,3.11,6.43,101.45,0.45,83.69,0.62,0.17
Fes,2026-05-05 11:06:10,16.14,72,1016,2.57,75,10000,Clouds,broken clouds,2,3.19,5.89,97.92,0.2,79.48,0.52,0.14
Casablanca,2026-05-05 12:06:11,20.18,52,1016,3.6,40,10000,Clouds,scattered clouds,3,4.66,10.4,108.75,0.59,110.06,4.5,0
Tanger,2026-05-05 12:06:13,19.64,56,1016,4.12,40,10000,Clouds,scattered clouds,3,5.02,8.84,109.01,0.97,107.66,4.85,0
Karia Ba Mohamed,2026-05-05 12:06:14,20.37,44,1015,3.45,100,10000,Clouds,overcast clouds,2,3.14,6.33,100.03,0.31,85.46,0.59,0.15
Fes,2026-05-05 12:06:16,18.14,63,1015,2.06,75,10000,Clouds,broken clouds,2,3.23,5.95,96.68,0.16,79.59,0.5,0.12
Casablanca,2026-05-05 13:06:18,20.18,52,1016,4.12,40,10000,Clouds,scattered clouds,3,4.83,10.09,108.81,0.5,113.4,4.7,0
Tanger,2026-05-05 13:06:19,19.64,52,1015,4.63,40,10000,Clouds,scattered clouds,3,4.9,8.29,108.68,0.71,110.8,4.59,0
